Name,Team,Height,Weight,Jersey Number,Position Shorthand,Position Longhand,Country,Overall,Potential,Stats,Detailed link
Karim Benzema,Real Madrid CF,"6'1""																",179lbs,#9 ,CF,Center Forward,France,91,91,2147,https://www.fifaratings.com/karim-benzema
T. Courtois,Real Madrid CF,"6'6""																",212lbs,#1 ,GK,Goalkeeper,Belgium,90,91,1334,https://www.fifaratings.com/thibaut-courtois
Toni Kroos,Real Madrid CF,"6'0""																",168lbs,#8 ,CM,Center Midfielder,Germany,88,88,2147,https://www.fifaratings.com/toni-kroos
Luka Modrić,Real Madrid CF,"5'8""																",146lbs,#10 ,CM,Center Midfielder,Croatia,88,88,2258,https://www.fifaratings.com/luka-modric
A. Rüdiger,Real Madrid CF,"6'3""																",187lbs,#22 ,CB,Centre Back,Germany,87,88,2011,https://www.fifaratings.com/antonio-rudiger
Vinícius Jr.,Real Madrid CF,"5'9""																",161lbs,#20 ,LW,Left Winger,Brazil,86,92,1985,https://www.fifaratings.com/vinicius-jose-de-oliveira-junior
David Alaba,Real Madrid CF,"5'11""																",172lbs,#4 ,CB,Centre Back,Austria,86,86,2277,https://www.fifaratings.com/david-alaba
F. Valverde,Real Madrid CF,"6'0""																",172lbs,#15 ,CM,Center Midfielder,Uruguay,85,90,2239,https://www.fifaratings.com/federico-valverde
Éder Militão,Real Madrid CF,"6'1""																",172lbs,#3 ,CB,Centre Back,Brazil,84,89,2043,https://www.fifaratings.com/eder-gabriel-militao
Eden Hazard,Real Madrid CF,"5'9""																",163lbs,#7 ,LW,Left Winger,Belgium,84,84,2042,https://www.fifaratings.com/eden-hazard
Carvajal,Real Madrid CF,"5'8""																",161lbs,#2 ,RB,Right Back,Spain,84,84,2105,https://www.fifaratings.com/daniel-carvajal-ramos
A. Tchouaméni,Real Madrid CF,"6'2""																",179lbs,#18 ,CDM,Center Defensive Midfielder,France,83,89,2145,https://www.fifaratings.com/aurelien-tchouameni
Marco Asensio,Real Madrid CF,"6'0""																",168lbs,#11 ,RW,Right Winger,Spain,83,84,2036,https://www.fifaratings.com/marco-asensio-willemsen
Ferland Mendy,Real Madrid CF,"5'11""																",161lbs,#23 ,LB,Left Back,France,83,84,2158,https://www.fifaratings.com/ferland-mendy
Nacho Fernández,Real Madrid CF,"5'11""																",168lbs,#6 ,CB,Centre Back,Spain,82,82,1892,https://www.fifaratings.com/jose-ignacio-fernandez-iglesias
Rodrygo,Real Madrid CF,"5'9""																",141lbs,#21 ,RM,Right Midfielder,Brazil,81,88,1967,https://www.fifaratings.com/rodrygo-silva-de-goes
Lucas Vázquez,Real Madrid CF,"5'8""																",154lbs,#17 ,RB,Right Back,Spain,81,81,2155,https://www.fifaratings.com/lucas-vazquez-iglesias
E. Camavinga,Real Madrid CF,"6'0""																",150lbs,#12 ,CDM,Center Defensive Midfielder,France,79,89,2125,https://www.fifaratings.com/eduardo-camavinga
Odriozola,Real Madrid CF,"5'9""																",146lbs,#16 ,RWB,Right WingBack,Spain,78,79,1989,https://www.fifaratings.com/alvaro-odriozola-arzalluz
Dani Ceballos,Real Madrid CF,"5'10""																",150lbs,#19 ,CM,Center Midfielder,Spain,77,80,2007,https://www.fifaratings.com/daniel-ceballos-fernandez
Andriy Lunin,Real Madrid CF,"6'4""																",192lbs,#13 ,GK,Goalkeeper,Ukraine,75,84,1119,https://www.fifaratings.com/andriy-lunin
Vallejo,Real Madrid CF,"6'0""																",174lbs,#5 ,CB,Centre Back,Spain,75,79,1708,https://www.fifaratings.com/jesus-vallejo-lazaro
Mariano,Real Madrid CF,"5'11""																",168lbs,#24 ,ST,Striker,Dominican Republic,74,74,1948,https://www.fifaratings.com/mariano-diaz-mejia
Iker Bravo,Real Madrid CF,"6'0""																",174lbs,#27 ,ST,Striker,Spain,65,84,1539,https://www.fifaratings.com/iker-bravo-solanilla
Vinícius Tobías,Real Madrid CF,"5'9""																",146lbs,#33 ,RB,Right Back,Brazil,65,83,1640,https://www.fifaratings.com/vinicius-tobias-da-silva
Peter,Real Madrid CF,"5'11""																",157lbs,#44 ,LM,Left Midfielder,Spain,65,79,1557,https://www.fifaratings.com/peter-gonzalez-carmona
Noel,Real Madrid CF,"6'0""																",150lbs,#29 ,ST,Striker,Spain,64,82,1542,https://www.fifaratings.com/noel-lopez-de-la-fuente
Obrador,Real Madrid CF,"6'0""																",152lbs,#37 ,LB,Left Back,Spain,64,80,1495,https://www.fifaratings.com/rafael-obrador-burguera
Arribas,Real Madrid CF,"5'8""																",146lbs,#28 ,CAM,Center Attacking Midfielder,Spain,64,76,1510,https://www.fifaratings.com/sergio-arribas-calvo
Luis López,Real Madrid CF,"6'3""																",168lbs,#26 ,GK,Goalkeeper,Spain,63,76,888,https://www.fifaratings.com/luis-federico-lopez-andugar
Cañizares,Real Madrid CF,"6'1""																",179lbs,#42 ,GK,Goalkeeper,Spain,62,78,1034,https://www.fifaratings.com/lucas-canizares-conchello
Takuhiro Nakai,Real Madrid CF,"5'10""																",150lbs,#31 ,CAM,Center Attacking Midfielder,Japan,61,83,1464,https://www.fifaratings.com/takuhiro-nakai
Julen Jon,Real Madrid CF,"6'1""																",152lbs,#38 ,CAM,Center Attacking Midfielder,Spain,61,82,1546,https://www.fifaratings.com/julen-jon-guerrero-landabaso
Manuel Neuer,FC Bayern München,"6'4""																",205lbs,#1 ,GK,Goalkeeper,Germany,90,90,1534,https://www.fifaratings.com/manuel-neuer
Joshua Kimmich,FC Bayern München,"5'10""																",165lbs,#6 ,CDM,Center Defensive Midfielder,Germany,89,90,2283,https://www.fifaratings.com/joshua-kimmich
Sadio Mané,FC Bayern München,"5'9""																",152lbs,#17 ,LM,Left Midfielder,Senegal,89,89,2187,https://www.fifaratings.com/sadio-mane
Leon Goretzka,FC Bayern München,"6'2""																",181lbs,#8 ,CM,Center Midfielder,Germany,87,88,2312,https://www.fifaratings.com/leon-goretzka
Thomas Müller,FC Bayern München,"6'1""																",168lbs,#25 ,CAM,Center Attacking Midfielder,Germany,87,87,2140,https://www.fifaratings.com/thomas-muller
Kingsley Coman,FC Bayern München,"5'10""																",165lbs,#11 ,LM,Left Midfielder,France,86,87,1979,https://www.fifaratings.com/kingsley-coman
M. de Ligt,FC Bayern München,"6'2""																",196lbs,#4 ,CB,Centre Back,Netherlands,85,89,1977,https://www.fifaratings.com/matthijs-de-ligt
Alphonso Davies,FC Bayern München,"6'1""																",170lbs,#19 ,LM,Left Midfielder,Canada,84,89,2168,https://www.fifaratings.com/alphonso-davies
L. Hernández,FC Bayern München,"6'0""																",174lbs,#21 ,CB,Centre Back,France,84,85,2005,https://www.fifaratings.com/lucas-hernandez
Leroy Sané,FC Bayern München,"6'0""																",176lbs,#10 ,LM,Left Midfielder,Germany,84,85,2087,https://www.fifaratings.com/leroy-sane
Serge Gnabry,FC Bayern München,"5'9""																",170lbs,#7 ,RM,Right Midfielder,Germany,84,84,2047,https://www.fifaratings.com/serge-gnabry
Jamal Musiala,FC Bayern München,"6'0""																",154lbs,#42 ,CAM,Center Attacking Midfielder,Germany,83,91,2027,https://www.fifaratings.com/jamal-musiala
Dayot Upamecano,FC Bayern München,"6'1""																",198lbs,#2 ,CB,Centre Back,France,82,87,1852,https://www.fifaratings.com/dayot-upamecano
N. Mazraoui,FC Bayern München,"6'0""																",143lbs,#40 ,RM,Right Midfielder,Morocco,82,86,2105,https://www.fifaratings.com/noussair-mazraoui
Marcel Sabitzer,FC Bayern München,"5'10""																",168lbs,#18 ,CM,Center Midfielder,Austria,81,81,2184,https://www.fifaratings.com/marcel-sabitzer
Benjamin Pavard,FC Bayern München,"6'1""																",179lbs,#5 ,CB,Centre Back,France,80,82,2030,https://www.fifaratings.com/benjamin-pavard
R. Gravenberch,FC Bayern München,"6'3""																",170lbs,#38 ,CAM,Center Attacking Midfielder,Netherlands,79,88,2101,https://www.fifaratings.com/ryan-gravenberch
E. Choupo-Moting,FC Bayern München,"6'3""																",198lbs,ST,ST,Striker,Cameroon,76,76,1835,https://www.fifaratings.com/eric-maxim-choupo-moting
Sven Ulreich,FC Bayern München,"6'4""																",192lbs,#26 ,GK,Goalkeeper,Germany,75,75,1138,https://www.fifaratings.com/sven-ulreich
Bouna Sarr,FC Bayern München,"5'10""																",157lbs,#20 ,RM,Right Midfielder,Senegal,73,73,2012,https://www.fifaratings.com/bouna-sarr
J. Stanišić,FC Bayern München,"6'2""																",170lbs,#44 ,RB,Right Back,Croatia,72,81,1671,https://www.fifaratings.com/josip-stanisic
Mathys Tel,FC Bayern München,"6'0""																",170lbs,#39 ,CAM,Center Attacking Midfielder,France,66,85,1658,https://www.fifaratings.com/mathys-tel
Johannes Schenk,FC Bayern München,"6'3""																",187lbs,#35 ,GK,Goalkeeper,Germany,57,73,876,https://www.fifaratings.com/johannes-schenk
Kylian Mbappé,Paris Saint-Germain,"6'0""																",161lbs,#7 ,ST,Striker,France,91,95,2177,https://www.fifaratings.com/kylian-mbappe
Lionel Messi,Paris Saint-Germain,"5'7""																",148lbs,#30 ,CAM,Center Attacking Midfielder,Argentina,91,91,2190,https://www.fifaratings.com/lionel-messi
Neymar Jr,Paris Saint-Germain,"5'9""																",150lbs,#10 ,LW,Left Winger,Brazil,89,89,2157,https://www.fifaratings.com/neymar-da-silva-santos-jr
G. Donnarumma,Paris Saint-Germain,"6'5""																",198lbs,#99 ,GK,Goalkeeper,Italy,88,92,1375,https://www.fifaratings.com/gianluigi-donnarumma
Marquinhos,Paris Saint-Germain,"6'0""																",165lbs,#5 ,CB,Centre Back,Brazil,88,90,2082,https://www.fifaratings.com/marcos-aoas-correa
Keylor Navas,Paris Saint-Germain,"6'1""																",176lbs,#1 ,GK,Goalkeeper,Costa Rica,88,88,1427,https://www.fifaratings.com/keylor-navas
Marco Verratti,Paris Saint-Germain,"5'5""																",132lbs,#6 ,CM,Center Midfielder,Italy,87,87,2190,https://www.fifaratings.com/marco-verratti
Achraf Hakimi,Paris Saint-Germain,"5'11""																",161lbs,#2 ,RB,Right Back,Morocco,84,87,2229,https://www.fifaratings.com/achraf-hakimi
Sergio Ramos,Paris Saint-Germain,"6'0""																",181lbs,#4 ,CB,Centre Back,Spain,84,84,2137,https://www.fifaratings.com/sergio-ramos-garcia
Carlos Soler,Paris Saint-Germain,"5'11""																",168lbs,#28 ,CM,Center Midfielder,Spain,83,88,2183,https://www.fifaratings.com/carlos-soler-barragan
P. Kimpembe,Paris Saint-Germain,"6'2""																",176lbs,#3 ,CB,Centre Back,France,83,86,1943,https://www.fifaratings.com/presnel-kimpembe
Fabián,Paris Saint-Germain,"6'2""																",154lbs,#8 ,CM,Center Midfielder,Spain,83,85,2125,https://www.fifaratings.com/fabian-ruiz-pena
Pablo Sarabia,Paris Saint-Germain,"5'9""																",154lbs,#19 ,RW,Right Winger,Spain,81,81,2036,https://www.fifaratings.com/pablo-sarabia-garcia
Nuno Mendes,Paris Saint-Germain,"5'9""																",154lbs,#25 ,LB,Left Back,Portugal,80,88,2065,https://www.fifaratings.com/nuno-alexandre-tavares-mendes
Renato Sanches,Paris Saint-Germain,"5'9""																",154lbs,#18 ,CAM,Center Attacking Midfielder,Portugal,80,85,2215,https://www.fifaratings.com/renato-junior-luz-sanches
Danilo Pereira,Paris Saint-Germain,"6'2""																",183lbs,#15 ,CDM,Center Defensive Midfielder,Portugal,80,80,1983,https://www.fifaratings.com/danilo-luis-helio-pereira
Vitinha,Paris Saint-Germain,"5'8""																",141lbs,#17 ,CAM,Center Attacking Midfielder,Portugal,79,89,2007,https://www.fifaratings.com/vitor-machado-ferreira
Nordi Mukiele,Paris Saint-Germain,"6'2""																",185lbs,#26 ,CB,Centre Back,France,79,83,1976,https://www.fifaratings.com/nordi-mukiele
Juan Bernat,Paris Saint-Germain,"5'7""																",148lbs,#14 ,LB,Left Back,Spain,78,78,2054,https://www.fifaratings.com/juan-bernat-velasco
Hugo Ekitike,Paris Saint-Germain,"6'2""																",154lbs,#44 ,ST,Striker,France,76,85,1749,https://www.fifaratings.com/hugo-ekitike
Sergio Rico,Paris Saint-Germain,"6'5""																",198lbs,#16 ,GK,Goalkeeper,Spain,76,78,1210,https://www.fifaratings.com/sergio-rico-gonzalez
T. Pembélé,Paris Saint-Germain,"6'0""																",168lbs,#32 ,RM,Right Midfielder,France,70,81,1790,https://www.fifaratings.com/timothee-pembele
A. Letellier,Paris Saint-Germain,"6'4""																",205lbs,#90 ,GK,Goalkeeper,France,68,68,1050,https://www.fifaratings.com/alexandre-letellier
Ismaël Gharbi,Paris Saint-Germain,"5'6""																",128lbs,#35 ,CAM,Center Attacking Midfielder,Spain,64,78,1601,https://www.fifaratings.com/ismael-gharbi
Kenny Nagera,Paris Saint-Germain,"5'10""																",143lbs,#43 ,ST,Striker,France,63,74,1547,https://www.fifaratings.com/kenny-nagera
E. Bitshiabu,Paris Saint-Germain,"6'5""																",212lbs,#31 ,CB,Centre Back,France,62,80,1427,https://www.fifaratings.com/el-chadaille-bitshiabu
Mohamed Salah,Liverpool,"5'9""																",157lbs,#11 ,RW,Right Winger,Egypt,90,90,2225,https://www.fifaratings.com/mohamed-salah
Alisson,Liverpool,"6'3""																",201lbs,#1 ,GK,Goalkeeper,Brazil,89,90,1437,https://www.fifaratings.com/alisson-ramses-becker
Virgil van Dijk,Liverpool,"6'4""																",203lbs,#4 ,CB,Centre Back,Netherlands,89,89,2113,https://www.fifaratings.com/virgil-van-dijk
A. Robertson,Liverpool,"5'10""																",141lbs,#26 ,LB,Left Back,Scotland,87,87,2154,https://www.fifaratings.com/andrew-robertson
T. Alexander-Arnold,Liverpool,"5'11""																",152lbs,#66 ,CM,Center Midfielder,England,86,89,2228,https://www.fifaratings.com/trent-alexander-arnold
Thiago,Liverpool,"5'9""																",154lbs,#6 ,CM,Center Midfielder,Spain,86,86,2224,https://www.fifaratings.com/thiago-alcantara
Fabinho,Liverpool,"6'2""																",172lbs,#3 ,CDM,Center Defensive Midfielder,Brazil,86,86,2157,https://www.fifaratings.com/fabio-henrique-tavares
Diogo Jota,Liverpool,"5'10""																",161lbs,#20 ,ST,Striker,Portugal,85,88,2183,https://www.fifaratings.com/diogo-jose-teixeira-da-silva
Luis Díaz,Liverpool,"5'11""																",161lbs,#23 ,RM,Right Midfielder,Colombia,84,87,2049,https://www.fifaratings.com/luis-diaz
Joel Matip,Liverpool,"6'4""																",198lbs,#32 ,CB,Centre Back,Cameroon,84,84,1901,https://www.fifaratings.com/joel-matip
Roberto Firmino,Liverpool,"5'11""																",168lbs,#9 ,CF,Center Forward,Brazil,83,83,2160,https://www.fifaratings.com/roberto-firmino-barbosa-de-oliveira
Darwin Núñez,Liverpool,"6'1""																",176lbs,#27 ,ST,Striker,Uruguay,82,89,2065,https://www.fifaratings.com/darwin-nunez
J. Henderson,Liverpool,"6'0""																",176lbs,#14 ,CM,Center Midfielder,England,82,82,2179,https://www.fifaratings.com/jordan-henderson
I. Konaté,Liverpool,"6'4""																",209lbs,#5 ,CB,Centre Back,France,81,88,1742,https://www.fifaratings.com/ibrahima-konate
Joe Gomez,Liverpool,"6'2""																",170lbs,#2 ,CB,Centre Back,England,81,86,1809,https://www.fifaratings.com/joe-gomez
Arthur,Liverpool,"5'7""																",161lbs,#29 ,CM,Center Midfielder,Brazil,80,82,2122,https://www.fifaratings.com/arthur-henrique-ramos-oliveira-melo
Naby Keïta,Liverpool,"5'8""																",141lbs,#8 ,CAM,Center Attacking Midfielder,Guinea,80,81,2074,https://www.fifaratings.com/naby-keita
K. Tsimikas,Liverpool,"5'10""																",150lbs,#21 ,LB,Left Back,Greece,77,80,2020,https://www.fifaratings.com/konstantinos-tsimikas
A. Oxlade-Chamberlain,Liverpool,"5'9""																",154lbs,#15 ,CAM,Center Attacking Midfielder,England,77,77,2098,https://www.fifaratings.com/alex-oxlade-chamberlain
James Milner,Liverpool,"5'9""																",154lbs,#7 ,CDM,Center Defensive Midfielder,England,77,77,2116,https://www.fifaratings.com/james-milner
Curtis Jones,Liverpool,"6'1""																",165lbs,#17 ,CM,Center Midfielder,England,76,84,1964,https://www.fifaratings.com/curtis-jones
Harvey Elliott,Liverpool,"5'7""																",148lbs,#19 ,CAM,Center Attacking Midfielder,England,75,87,1768,https://www.fifaratings.com/harvey-elliott
Fábio Carvalho,Liverpool,"5'9""																",146lbs,#28 ,CAM,Center Attacking Midfielder,Portugal,74,86,1802,https://www.fifaratings.com/fabio-leandro-carvalho
C. Kelleher,Liverpool,"6'2""																",163lbs,#62 ,GK,Goalkeeper,Republic of Ireland,73,80,1152,https://www.fifaratings.com/caoimhin-kelleher
N. Phillips,Liverpool,"6'3""																",185lbs,#47 ,CB,Centre Back,England,73,76,1528,https://www.fifaratings.com/nathaniel-phillips
Adrián,Liverpool,"6'3""																",176lbs,#13 ,GK,Goalkeeper,Spain,72,72,1228,https://www.fifaratings.com/adrian-san-miguel-castillo
Calvin Ramsay,Liverpool,"5'10""																",150lbs,#22 ,RM,Right Midfielder,Scotland,64,81,1695,https://www.fifaratings.com/calvin-ramsay
Kaide Gordon,Liverpool,"5'8""																",143lbs,#49 ,RW,Right Winger,England,62,84,1469,https://www.fifaratings.com/kaide-gordon
Jake Cain,Liverpool,"5'9""																",137lbs,#64 ,CAM,Center Attacking Midfielder,England,62,72,1689,https://www.fifaratings.com/jake-cain
James Norris,Liverpool,"5'10""																",161lbs,#77 ,LB,Left Back,England,60,77,1479,https://www.fifaratings.com/james-norris
R. Lewandowski,FC Barcelona,"6'1""																",179lbs,#9 ,ST,Striker,Poland,91,91,2205,https://www.fifaratings.com/robert-lewandowski
M. ter Stegen,FC Barcelona,"6'2""																",187lbs,#1 ,GK,Goalkeeper,Germany,88,89,1443,https://www.fifaratings.com/marc-andre-ter-stegen
Frenkie de Jong,FC Barcelona,"5'11""																",163lbs,#21 ,CM,Center Midfielder,Netherlands,87,92,2238,https://www.fifaratings.com/frenkie-de-jong
Pedri,FC Barcelona,"5'9""																",135lbs,#8 ,CM,Center Midfielder,Spain,85,92,2112,https://www.fifaratings.com/pedro-gonzalez-lopez
Sergio Busquets,FC Barcelona,"6'2""																",168lbs,#5 ,CDM,Center Defensive Midfielder,Spain,85,85,2002,https://www.fifaratings.com/sergio-busquets-burgos
Memphis Depay,FC Barcelona,"5'9""																",172lbs,#14 ,CF,Center Forward,Netherlands,85,85,2089,https://www.fifaratings.com/memphis-depay
Jordi Alba,FC Barcelona,"5'7""																",150lbs,#18 ,LB,Left Back,Spain,85,85,2218,https://www.fifaratings.com/jordi-alba-ramos
Jules Koundé,FC Barcelona,"5'11""																",165lbs,#23 ,CB,Centre Back,France,84,89,1926,https://www.fifaratings.com/jules-kounde
F. Kessié,FC Barcelona,"6'0""																",194lbs,#19 ,CDM,Center Defensive Midfielder,Ivory Coast,84,86,2206,https://www.fifaratings.com/franck-yannick-kessie
Ronald Araujo,FC Barcelona,"6'4""																",201lbs,#4 ,CB,Centre Back,Uruguay,83,89,1910,https://www.fifaratings.com/ronald-araujo
O. Dembélé,FC Barcelona,"5'10""																",148lbs,#7 ,LM,Left Midfielder,France,83,86,2002,https://www.fifaratings.com/ousmane-dembele
Raphinha,FC Barcelona,"5'9""																",150lbs,#22 ,LM,Left Midfielder,Brazil,83,84,2129,https://www.fifaratings.com/raphael-dias-belloli
Ferran Torres,FC Barcelona,"6'0""																",170lbs,#11 ,LW,Left Winger,Spain,82,88,2030,https://www.fifaratings.com/ferran-torres-garcia
A. Christensen,FC Barcelona,"6'2""																",179lbs,#15 ,CB,Centre Back,Denmark,82,86,1775,https://www.fifaratings.com/andreas-christensen
Piqué,FC Barcelona,"6'4""																",187lbs,#3 ,CB,Centre Back,Spain,82,82,1953,https://www.fifaratings.com/gerard-pique-bernabeu
Gavi,FC Barcelona,"5'8""																",150lbs,#30 ,CAM,Center Attacking Midfielder,Spain,80,87,2035,https://www.fifaratings.com/pablo-martin-paez-gavira
Sergi Roberto,FC Barcelona,"5'10""																",150lbs,#20 ,RB,Right Back,Spain,80,80,2055,https://www.fifaratings.com/sergio-roberto-carnicer
Anssumane Fati,FC Barcelona,"5'10""																",146lbs,#10 ,CAM,Center Attacking Midfielder,Spain,79,90,1913,https://www.fifaratings.com/anssumane-fati
Héctor Bellerín,FC Barcelona,"5'10""																",163lbs,#2 ,RB,Right Back,Spain,79,80,1951,https://www.fifaratings.com/hector-bellerin-moruno
Marcos Alonso,FC Barcelona,"6'2""																",187lbs,#17 ,LB,Left Back,Spain,79,79,2143,https://www.fifaratings.com/marcos-alonso-mendoza
Eric García,FC Barcelona,"6'0""																",168lbs,#24 ,CDM,Center Defensive Midfielder,Spain,77,84,1820,https://www.fifaratings.com/eric-garcia-martret
Dani Alves,FC Barcelona,"5'8""																",154lbs,#6 ,RB,Right Back,Brazil,77,77,2087,https://www.fifaratings.com/daniel-alves-da-silva
Balde,FC Barcelona,"5'9""																",152lbs,#28 ,LM,Left Midfielder,Spain,74,85,1799,https://www.fifaratings.com/alejandro-balde-martinez
Iñaki Peña,FC Barcelona,"6'0""																",172lbs,#26 ,GK,Goalkeeper,Spain,72,81,1103,https://www.fifaratings.com/ignacio-pena-sotorres
Pablo Torre,FC Barcelona,"5'8""																",139lbs,#32 ,CAM,Center Attacking Midfielder,Spain,69,86,1775,https://www.fifaratings.com/pablo-torre-carral
Ilias,FC Barcelona,"5'9""																",154lbs,#37 ,CAM,Center Attacking Midfielder,Spain,67,83,1550,https://www.fifaratings.com/ilias-akhomach-chakkour
Arnau Tenas,FC Barcelona,"6'1""																",187lbs,#36 ,GK,Goalkeeper,Spain,67,81,1045,https://www.fifaratings.com/arnau-tenas-urena
Roberto,FC Barcelona,"6'1""																",165lbs,#38 ,ST,Striker,Spain,67,78,1677,https://www.fifaratings.com/roberto-fernandez-jaen
Emre Demir,FC Barcelona,"5'9""																",146lbs,#31 ,CAM,Center Attacking Midfielder,Turkey,65,79,1650,https://www.fifaratings.com/emre-demir
Álvaro Sanz,FC Barcelona,"5'7""																",143lbs,#34 ,CDM,Center Defensive Midfielder,Spain,65,77,1630,https://www.fifaratings.com/alvaro-sanz-catalan
Hiroki Abe,FC Barcelona,"5'7""																",143lbs,#35 ,RM,Right Midfielder,Japan,64,73,1625,https://www.fifaratings.com/hiroki-abe
Àlex Carbonell,FC Barcelona,"6'0""																",161lbs,#27 ,CM,Center Midfielder,Spain,64,68,1736,https://www.fifaratings.com/alex-carbonell-valles
Fabio Blanco,FC Barcelona,"5'10""																",157lbs,#29 ,RM,Right Midfielder,Spain,62,82,1502,https://www.fifaratings.com/fabio-blanco-gomez
Estanis,FC Barcelona,"6'1""																",159lbs,#39 ,ST,Striker,Spain,62,79,1508,https://www.fifaratings.com/estanislau-pedrola-fortuny
L. Martínez,Inter,"5'9""																",159lbs,#10 ,ST,Striker,Argentina,86,90,2163,https://www.fifaratings.com/lautaro-martinez
Nicolò Barella,Inter,"5'8""																",150lbs,#23 ,CM,Center Midfielder,Italy,86,89,2296,https://www.fifaratings.com/nicolo-barella
Milan Škriniar,Inter,"6'2""																",176lbs,#37 ,CB,Centre Back,Slovakia,86,87,1861,https://www.fifaratings.com/milan-skriniar
Romelu Lukaku,Inter,"6'3""																",207lbs,#90 ,ST,Striker,Belgium,86,86,2034,https://www.fifaratings.com/romelu-lukaku
M. Brozović,Inter,"5'11""																",150lbs,#77 ,CDM,Center Defensive Midfielder,Croatia,86,86,2227,https://www.fifaratings.com/marcelo-brozovic
A. Bastoni,Inter,"6'3""																",165lbs,#95 ,CB,Centre Back,Italy,84,90,1890,https://www.fifaratings.com/alessandro-bastoni
